Filename,Full Observation,Core Observation Sentence,Contains Cause & Effect? (yes/no),Cause related to engineered products? (yes/no),Effect related to economic impact? (yes/no),Relevant Portion of the Observation
Economic and environmental assessment of product life cycle design - volume and technology perspective..txt,"However, since the social impact can be subjective and harder to quantify, it has been excluded in this article. 5.3. Future works This article demonstrates that further research is needed to assess overall impact of product development arising from new technology introduction so that all three aspects of triple bottom line is considered esocial, economic and environmental impacts. To address the social perspective of product development, an improved de ﬁnition of functional unit in LCA is needed to cater for changes in functionality and usage behaviour arising from new technologies. In addition, forecasting of market share needs to be incorporated into the analysis to predict market trends and deter- mine projected volume increase.","Future works This article demonstrates that further research is needed to assess overall impact of product development arising from new technology introduction so that all three aspects of triple bottom line is considered esocial, economic and environmental impacts",no,,,
Economic and environmental assessment of product life cycle design - volume and technology perspective..txt,"5.3. Future works This article demonstrates that further research is needed to assess overall impact of product development arising from new technology introduction so that all three aspects of triple bottom line is considered esocial, economic and environmental impacts. To address the social perspective of product development, an improved de ﬁnition of functional unit in LCA is needed to cater for changes in functionality and usage behaviour arising from new technologies. In addition, forecasting of market share needs to be incorporated into the analysis to predict market trends and deter- mine projected volume increase. Hence, further research is in progress to incorporate the above-mentioned issues into product life cycle design assessment for a more comprehensive analysis.","To address the social perspective of product development, an improved de ﬁnition of functional unit in LCA is needed to cater for changes in functionality and usage behaviour arising from new technologies",no,,,
Economic and environmental assessment of product life cycle design - volume and technology perspective..txt,"Required improvement to achieve target total environmental impact. Table 1 Deﬁnition of acronyms/abbreviations. Abbreviation De ﬁnition FR Functional requirement DP Design parameter PC Product costPR Product revenuePE Product environmental impactm Percentage pro ﬁt margin PL Product life factorPD Product design factorS Volume N Nth generation TC Total costTR Total revenueTE Total environmental impactTP Total pro ﬁtS.J. Kim et al. / Journal of Cleaner Production 75 (2014) 75 e85 84Guinée, J.B., Udo de Haes, H.A., Huppes, G., 1993.",Abbreviation De ﬁnition FR Functional requirement DP Design parameter PC Product costPR Product revenuePE Product environmental impactm Percentage pro ﬁt margin PL Product life factorPD Product design factorS Volume N Nth generation TC Total costTR Total revenueTE Total environmental impactTP Total pro ﬁtS.J,no,,,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"(3) The per capita GDP of green agriculture has not broken the  overall pattern of high economic growth in China’s eastern regions and low growth in the  western. According to the results, the major cause of this spatial pattern lay in the higher  efficiency of agricultural production in the eastern, economically more developed areas,  and the relatively less efficient mode of production in the western areas. (4) A region’s  level of economic development, technological innovation, infrastructure investment and  openness were found to have a positive impact on the growth of green agriculture within it.  In previous research, emergy methods have not been applied to study the economic sectors  in China, the largest developing country in the world, especially in the agricultural sector.  Only few studies report on the analysis of spatial characteristics and factors influencing  the growth of green agriculture.","(4) A region’s  level of economic development, technological innovation, infrastructure investment and  openness were found to have a positive impact on the growth of green agriculture within it",yes,yes,yes,"""A region’s  level of economic development, technological innovation, infrastructure investment and  openness were found to have a positive impact on the growth of green agriculture within it."""
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"A  single economic unit may contribute to the consumption of the agricultural ecological  environment both in the local and neighboring area because of the emission, the transpor - tation and the deposition of pollutants, imposing negative externalities to the agricultural  ecosystem of the whole society. Therefore, when analyzing the influencing factors of green  agricultural economy, the influence of spatial characteristics must not be ignored. In addi- tion, economic units are found in different stages or circumstances of agricultural economic 15497 Economic growth of green agriculture and its influencing factors… 1 3 development, which refers to scientific and technological innovation ability, infrastructure  investment, the openness to the outside world, the quality of the labor force, the intensity of  environmental regulations and other aspects. Therefore, further studies should follow three directions. Firstly, it is important to build  a framework for accounting the agricultural green GDP of China based on emergy analysis  and to analyze the temporal and spatial characteristics.","In addi- tion, economic units are found in different stages or circumstances of agricultural economic 15497 Economic growth of green agriculture and its influencing factors… 1 3 development, which refers to scientific and technological innovation ability, infrastructure  investment, the openness to the outside world, the quality of the labor force, the intensity of  environmental regulations and other aspects",no,,,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"Strengthening  the intensity of environmental regulation can effectively inhibit the development of pollu- tion-intensive industries and promote the green transformation of agricultural production  (Kamp et al., 2016). However, a high intensity of environmental regulations will, inevi- tably, impose new requirements on agricultural production scales and rigid constraints on  pollution emissions, which may also have some negative effects on agricultural output and,  hence, affect the overall level of the green growth of the agricultural economy. Referring to the relevant research results, this paper selected the above-mentioned six  aspects (economic development level, scientific and technological innovation ability, agri- cultural infrastructure investment, openness to the outside world, labor quality, and envi- ronmental regulation intensity) for study purposes (Table  2). To eliminate the influence of  heteroscedasticity, the relevant data were logarithmically processed. 3.2  Indicator description and data source Detailed surveys of green agriculture were conducted by our research team for the period  from 2014 to 2018 to collect data and identify key information for emergy analysis.","Referring to the relevant research results, this paper selected the above-mentioned six  aspects (economic development level, scientific and technological innovation ability, agri- cultural infrastructure investment, openness to the outside world, labor quality, and envi- ronmental regulation intensity) for study purposes (Table  2)",no,,,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"The data covered the period from 2003 to 2018 and 31 provinces (munici- palities directly under the Central Government and autonomous regions) (excluding Hong  Kong, Macao and Taiwan). Some of the indicators were as follows: (1) In order to elimi- nate the impact of inter-annual price changes, the comparable price index was used to con- vert the data related to prices based on the year 2003. (2) For energy calculation purposes,  the data pertaining to solar radiation and annual rainfall were derived from the observed  average values of meteorological observation stations in various regions; the data of agri- cultural pollution (waste) emissions were expressed in an equal-standard, non-point source  pollution capacity, and were calculated using the inventory analysis method with reference 15503 Economic growth of green agriculture and its influencing factors… 1 3Table 2  Description of influencing factors for economic growth of green agriculture Variables Meaning Expression PGDP Economic development level Per capita GDP CRE Scientific and technological innovation ability Investment in agricultural scientific research INV Agricultural Infrastructure Investment Investment in agricultural infrastructure, such as water conservation, transporta- tion and education in rural areas OPE Openness to the outside world Proportion of FDI to GDP PIR Quality of Labor Force Proportion of the population that have finished high school ER Environmental regulation intensity Proportion of total investment in regional environmental pollution control to GDP15504 Z. Li et al. 1 3 to Liang(2009). (3) Using the emergy benchmark value of 9.44 × 1024sej/a, the emergy  conversion rate was mainly taken from the research results of Lan and Qin(2001)−and  Odum(1996).","(2) For energy calculation purposes,  the data pertaining to solar radiation and annual rainfall were derived from the observed  average values of meteorological observation stations in various regions; the data of agri- cultural pollution (waste) emissions were expressed in an equal-standard, non-point source  pollution capacity, and were calculated using the inventory analysis method with reference 15503 Economic growth of green agriculture and its influencing factors… 1 3Table 2  Description of influencing factors for economic growth of green agriculture Variables Meaning Expression PGDP Economic development level Per capita GDP CRE Scientific and technological innovation ability Investment in agricultural scientific research INV Agricultural Infrastructure Investment Investment in agricultural infrastructure, such as water conservation, transporta- tion and education in rural areas OPE Openness to the outside world Proportion of FDI to GDP PIR Quality of Labor Force Proportion of the population that have finished high school ER Environmental regulation intensity Proportion of total investment in regional environmental pollution control to GDP15504 Z. Li et al",no,,,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"The effects of the independent variables on the dependent variables in the model could  not be directly reflected by the model estimation coefficients. It was necessary to decom- pose the effects of the SDM variables according to formula (7), the results of which are  shown in Table  4. Here, it can be seen that under the total SDM effect, the three influenc- ing factors of economic development level, scientific and technological innovation capac- ity, and degree of openness to the outside world passed the significance test with a positive  direction of influence, indicating that PGDP, CRE, and OPE play a statistically significant  and positive role in promoting the growth of green agriculture. The specific analysis is as  follows. The economic development level (PGDP) was found to have a statistically significant and  positive impact on the growth of green agriculture.","Here, it can be seen that under the total SDM effect, the three influenc- ing factors of economic development level, scientific and technological innovation capac- ity, and degree of openness to the outside world passed the significance test with a positive  direction of influence, indicating that PGDP, CRE, and OPE play a statistically significant  and positive role in promoting the growth of green agriculture",yes,yes,yes,"""Here, it can be seen that under the total SDM effect, the three influenc- ing factors of economic development level, scientific and technological innovation capac- ity, and degree of openness to the outside world passed the significance test with a positive  direction of influence, indicating that PGDP, CRE, and OPE play a statistically significant  and positive role in promoting the growth of green agriculture."""
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"1 3 of accelerating economic growth and promoting the green transformation of agricultural  development has played a solid role at provincial levels. Drawing lessons from the successful  transformation experience of the surrounding areas, the findings here imply that regions can  achieve faster agricultural transformation by improving their level of economic development. Enhancing the capacity of scientific and technological innovation (CRE) was found to have  a statistically significant and overall positive effect on changes to the growth of green agri- culture, with both direct and indirect positive and statistically significant effects. The positive  direct effect indicates that an improvement in regional scientific and technological innovation  can effectively promote the growth of the region’s green agricultural economy. A stronger  scientific and technological innovation capacity can produce more green and environmental  technology achievements, which is conducive to improving the level of technology and the  management of agricultural production.","Enhancing the capacity of scientific and technological innovation (CRE) was found to have  a statistically significant and overall positive effect on changes to the growth of green agri- culture, with both direct and indirect positive and statistically significant effects",yes,yes,yes,"""Enhancing the capacity of scientific and technological innovation (CRE) was found to have  a statistically significant and overall positive effect on changes to the growth of green agri- culture, with both direct and indirect positive and statistically significant effects. The positive  direct effect indicates that an improvement in regional scientific and technological innovation  can effectively promote the growth of the region’s green agricultural economy. A stronger  scientific and technological innovation capacity can produce more green and environmental  technology achievements, which is conducive to improving the level of technology and the  management of agricultural production. Thus, this factor can be seen to play a strong role  in promoting the green transformation of China’s agricultural economic growth."""
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"Drawing lessons from the successful  transformation experience of the surrounding areas, the findings here imply that regions can  achieve faster agricultural transformation by improving their level of economic development. Enhancing the capacity of scientific and technological innovation (CRE) was found to have  a statistically significant and overall positive effect on changes to the growth of green agri- culture, with both direct and indirect positive and statistically significant effects. The positive  direct effect indicates that an improvement in regional scientific and technological innovation  can effectively promote the growth of the region’s green agricultural economy. A stronger  scientific and technological innovation capacity can produce more green and environmental  technology achievements, which is conducive to improving the level of technology and the  management of agricultural production. Thus, this factor can be seen to play a strong role  in promoting the green transformation of China’s agricultural economic growth.",The positive  direct effect indicates that an improvement in regional scientific and technological innovation  can effectively promote the growth of the region’s green agricultural economy,yes,yes,yes,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"Enhancing the capacity of scientific and technological innovation (CRE) was found to have  a statistically significant and overall positive effect on changes to the growth of green agri- culture, with both direct and indirect positive and statistically significant effects. The positive  direct effect indicates that an improvement in regional scientific and technological innovation  can effectively promote the growth of the region’s green agricultural economy. A stronger  scientific and technological innovation capacity can produce more green and environmental  technology achievements, which is conducive to improving the level of technology and the  management of agricultural production. Thus, this factor can be seen to play a strong role  in promoting the green transformation of China’s agricultural economic growth. The indirect  effect is positive, indicating that improving the scientific and technological innovation capac- ity is mainly government-led.","A stronger  scientific and technological innovation capacity can produce more green and environmental  technology achievements, which is conducive to improving the level of technology and the  management of agricultural production",yes,yes,yes,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"A stronger  scientific and technological innovation capacity can produce more green and environmental  technology achievements, which is conducive to improving the level of technology and the  management of agricultural production. Thus, this factor can be seen to play a strong role  in promoting the green transformation of China’s agricultural economic growth. The indirect  effect is positive, indicating that improving the scientific and technological innovation capac- ity is mainly government-led. Such action in one region has a strong spillover effect on others  adjacent to it. When innovation drives the transformation of a region’s agricultural growth,  given its obvious effect, the surrounding areas will adopt the mode of learning from observa- tion in order to promote their own green agriculture GDP growth.","The indirect  effect is positive, indicating that improving the scientific and technological innovation capac- ity is mainly government-led",no,,,
Economic growth of green agriculture and its influencing factors in china - Based on emergy theory and spatial econometric model..txt,"Therefore, the formulation of policies and measures for the develop- ment of green agriculture should be more targeted. Not only should the impact of various  factors on a region’s green agriculture GDP be clarified, but the interaction of these factors  with adjacent areas should also be fully taken into account. On the basis of accelerating  economic growth, enhancing the scientific and technological innovation capacity, increas- ing infrastructure investment and expanding the degree of opening up, it is necessary to  strengthen the cooperation between the regions, and enhance the demonstration effect of  relevant measures so as to promote the growth of green agriculture in each region. 5.2  Implications The conclusions of this work are relevant on both theoretical and practical level. At the  theoretical level, the connotation of agricultural green GDP was explained, and the analyti- cal framework for measuring the level of green economic growth in the agricultural sector  was provided from the perspective of energy conversion in the agricultural eco-economic  system, which contributes to the theoretical understanding of energy conversion in the eco- logical economy.","On the basis of accelerating  economic growth, enhancing the scientific and technological innovation capacity, increas- ing infrastructure investment and expanding the degree of opening up, it is necessary to  strengthen the cooperation between the regions, and enhance the demonstration effect of  relevant measures so as to promote the growth of green agriculture in each region",yes,no,yes,
Economic impact of autonomous vehicles in Spain.txt,"ORIGINAL PAPER Open Access Economic impact of autonomous vehicles in Spain Efrén Alonso1*, Cristina Arpón1, María González1, Ramón Ángel Fernández2and Mariano Nieto3 Abstract Background: Pollution, traffic accidents, and congestion are huge problems in most urban areas. Autonomous and electric vehicles are leading our society to a new mobility model, also known as the New Era of Transportation (NERTRA). Mobility is a strategic issue for any country, and this change of model will mean, in addition to a great technological revolution, an economic revolution.","ORIGINAL PAPER Open Access Economic impact of autonomous vehicles in Spain Efrén Alonso1*, Cristina Arpón1, María González1, Ramón Ángel Fernández2and Mariano Nieto3 Abstract Background: Pollution, traffic accidents, and congestion are huge problems in most urban areas",no,,,
Economic impact of autonomous vehicles in Spain.txt,"Autonomous and electric vehicles are leading our society to a new mobility model, also known as the New Era of Transportation (NERTRA). Mobility is a strategic issue for any country, and this change of model will mean, in addition to a great technological revolution, an economic revolution. Methodology: The purpose of this work is to carry out a study of the main economic sectors affected in Spain and evaluate the economic impact that autonomous vehicles will have on each one. Data from this sector have been collected, analyzing the economic and technological factors that will affect to a greater or lesser extent and made evolution forecasts. Results: The study presents three different scenarios depending on how the transition progresses.",Methodology: The purpose of this work is to carry out a study of the main economic sectors affected in Spain and evaluate the economic impact that autonomous vehicles will have on each one,yes,yes,yes,The purpose of this work is to carry out a study of the main economic sectors affected in Spain and evaluate the economic impact that autonomous vehicles will have on each one.
Economic impact of autonomous vehicles in Spain.txt,"These results have great value for the industry itself and the professionals affected, as well as for the authorities of the country to take the appropriate measures from the beginning of the transition. The sectors directly affected by this change represent more than 38% of the gross domestic product of Spain. Key factors, such as technological innovation in vehicles, and the emergence of new business and mobility models determine drastic changes in some important sectors. It is important to make quick decisions both from administrations and from the industry itself to adapt to new mobility. Keywords: Autonomous vehicles, Mobility, Economy, Spain, NERTRA, GDP 1 Introduction Autonomous vehicles are a disruptive change in trans- port systems.","Key factors, such as technological innovation in vehicles, and the emergence of new business and mobility models determine drastic changes in some important sectors",yes,yes,yes,"""The sectors directly affected by this change represent more than 38% of the gross domestic product of Spain. Key factors, such as technological innovation in vehicles, and the emergence of new business and mobility models determine drastic changes in some important sectors."""
Economic impact of autonomous vehicles in Spain.txt,"Traffic accidents are a social drama. In 2016, 102,635 ac- cidents were registered in Spain and 1810 people died [4]. These fatalities have major economic impacts; the cost is on the order of 10,3 billion €per year in Spain. © The Author(s). 2020 Open Access This article is licensed under a Creative Commons Attribution 4.0 International License, which permits use, sharing, adaptation, distribution and reproduction in any medium or format, as long as you give appropriate credit to the original author(s) and the source, provide a link to the Creative Commons licence, and indicate if changes were made.","These fatalities have major economic impacts; the cost is on the order of 10,3 billion €per year in Spain",yes,yes,yes,"""Traffic accidents are a social drama. In 2016, 102,635 ac- cidents were registered in Spain and 1810 people died [4]. These fatalities have major economic impacts; the cost is on the order of 10,3 billion €per year in Spain."""
Economic impact of autonomous vehicles in Spain.txt,"Artificial intelligence and communica- tion technologies bring new solutions and business models, such as ride-sharing services, on-demand services, or“Mobility as a service ”(MaaS), which will reduce con- gestion in urban areas. The economic effects of this revolution in transport will be very remarkable. One of the first analyses esti- mated the economic impact of autonomous vehicles up to $1.9 trillion per year by 2025 [ 10]. Recent re- search finds that autonomous driving technology will enable a new economy worth $7 trillion in 2050 [ 11]. Technological innovation advances much faster than the legislation that allows its deployment.",One of the first analyses esti- mated the economic impact of autonomous vehicles up to $1.9 trillion per year by 2025 [ 10],yes,yes,yes,"""Artificial intelligence and communica- tion technologies bring new solutions and business models, such as ride-sharing services, on-demand services, or“Mobility as a service ”(MaaS), which will reduce con- gestion in urban areas. The economic effects of this revolution in transport will be very remarkable. One of the first analyses esti- mated the economic impact of autonomous vehicles up to $1.9 trillion per year by 2025 [ 10]. Recent re- search finds that autonomous driving technology will enable a new economy worth $7 trillion in 2050 [ 11]."""
Economic impact of autonomous vehicles in Spain.txt,"One of the first analyses esti- mated the economic impact of autonomous vehicles up to $1.9 trillion per year by 2025 [ 10]. Recent re- search finds that autonomous driving technology will enable a new economy worth $7 trillion in 2050 [ 11]. Technological innovation advances much faster than the legislation that allows its deployment. However, le- gislation is important to drive the transition to new mo- bility models. In recent years, Spanish policymakers have already begun this task.",Technological innovation advances much faster than the legislation that allows its deployment,no,,,
Economic impact of autonomous vehicles in Spain.txt,"Lanctot, R. (2017). Accelerating the future: the economic impact of the emerging passenger economy autonomous. Autonomous Vehicles Services , no. June, pp.",Accelerating the future: the economic impact of the emerging passenger economy autonomous,no,,,
"Environmental innovation, knowledge spillovers and policy implications - A systematic review of the economic effects literature..txt","Review Environmental innovation, knowledge spillovers and policy implications: A systematic review of the economic effects literature Luigi Aldieria,*, Fabio Carluccia, Concetto Paolo Vincia, Tan Yigitcanlarb aDepartment of Economic and Statistical Sciences, University of Salerno, Via Giovanni Paolo II 132, 84084, Fisciano, SA, Italy bSchool of Civil Engineering and Built Environment, Queensland University of Technology (QUT), 2 George Street, Brisbane, QLD, 4001, Australia article info Article history: Received 4 February 2019Received in revised form16 July 2019Accepted 14 August 2019Available online 16 August 2019 Handling editor: Cecilia Maria Villas B ^oas de Almeida JEL classi ﬁcation: O32O33Q55Q58 Keywords: Cleaner productionEnvironmental innovationSustainable development policyEnvironmental spilloversFirm productivityabstract The economic impact of environmentally friendly innovations, and their knowledge externalities on productivity received an increasing attention from the research community. Although there arenumerous studies focusing on this issue, to our knowledge, there is no systematic literature review so far able to provide a complete outlook on the state-of-the-art, and the directional change in the theoretical and empirical studies exploring the relationship between environmental spillover effects and ﬁrm productivity. In order to bridge this gap, the paper aims to identify empirical evidence concerning the public policy strategies introduced to support diffusion of environmentally friendly technologies.","Review Environmental innovation, knowledge spillovers and policy implications: A systematic review of the economic effects literature Luigi Aldieria,*, Fabio Carluccia, Concetto Paolo Vincia, Tan Yigitcanlarb aDepartment of Economic and Statistical Sciences, University of Salerno, Via Giovanni Paolo II 132, 84084, Fisciano, SA, Italy bSchool of Civil Engineering and Built Environment, Queensland University of Technology (QUT), 2 George Street, Brisbane, QLD, 4001, Australia article info Article history: Received 4 February 2019Received in revised form16 July 2019Accepted 14 August 2019Available online 16 August 2019 Handling editor: Cecilia Maria Villas B ^oas de Almeida JEL classi ﬁcation: O32O33Q55Q58 Keywords: Cleaner productionEnvironmental innovationSustainable development policyEnvironmental spilloversFirm productivityabstract The economic impact of environmentally friendly innovations, and their knowledge externalities on productivity received an increasing attention from the research community",yes,yes,yes,"""The economic impact of environmentally friendly innovations, and their knowledge externalities on productivity received an increasing attention from the research community."""
"Environmental innovation, knowledge spillovers and policy implications - A systematic review of the economic effects literature..txt","Ecological innovation is one of the targets of the United Nations ’(UN) 2030 Agenda for Sustainable Development and Sustainable Development Goals (Szopik-Depczynska et al., 2018 ). This issue is fundamental for identifying the drives of innovation for cleaner production, and for a thorough spatial analysis of knowledge spillovers ( Cong et al., 2017 ;Yin et al., 2018 ). Knowledge spillovers stemmed from technological innovation, however, could lead to free-riding incentives and a crowding effect of research and development (R &D) efforts. The importance of policymakers to understand how knowledge spillovers enhanceenvironmentally friendly innovation is also emphasized ( Zhao et al., 2015 ;Pancholi et al., 2015 ). Indeed, the analysis of effects generated from innovation in sustainable urban development has signiﬁcant policy implications, as it helps in determining and implementing an effective innovation policy ( Font-Vivanco et al., 2015 ;Esmaeilpoorarabi et al., 2018 ).","Knowledge spillovers stemmed from technological innovation, however, could lead to free-riding incentives and a crowding effect of research and development (R &D) efforts",yes,yes,yes,"""Knowledge spillovers stemmed from technological innovation, however, could lead to free-riding incentives and a crowding effect of research and development (R &D) efforts"""
"Environmental innovation, knowledge spillovers and policy implications - A systematic review of the economic effects literature..txt","Literature background According to recent studies, three drivers of environmental innovation can be identi ﬁed (as discussed in Horbach, 2008 , and Horbach et al., 2012 ). These are: (a) Market pull factors; (b) Tech- nology push drivers and other elements useful for developing skills innovation, and; (c) Regulation for reducing public good nature andimproving environmental performance of innovations ( Marin and Lotti, 2017 ). Environmental innovations are different from other technological innovations, particularly because of the relevant impact on cleaner production variables, regional development and infrastructure ( Arbolino et al., 2018a ). The reason for this difference is that environmental innovations produce positive effects on the environment, but their impact could be negative on ﬁrms ’productivity performance ( Arbolino et al., 2017 ,2018b ). Thus, environmental regulations have been frequently criticized, as they can produce lower productivity levels (Palmer et al., 1995 ).","Environmental innovations are different from other technological innovations, particularly because of the relevant impact on cleaner production variables, regional development and infrastructure ( Arbolino et al., 2018a )",no,,,
Feedback on professional skills as enculturation into communities of practice.txt,"Design/Method Our ethnographic study employs disco urse analysis to focus on professional skills. Using the construct of communities of pra ctice, we describe and analyze conversations between a coach and four student teams as the coach provided feedback, and conversationsamong students as they worked in teams. Results Approximately half the discussion addressed the following professional skills: com- munication, documentation, teamwork, the economic impact of engineering solutions, and project management. Development of professional skills promotes students’ enculturation into both a disciplinary community (chemical engineering) and an industrial community (semi-conductor industry). Feedback on professional skills generally was given in the context oftechnical aspects, and we found an interplay between the teams’ participation in professio-nal skills activities and participation in more technical activities.","Results Approximately half the discussion addressed the following professional skills: com- munication, documentation, teamwork, the economic impact of engineering solutions, and project management",no,,,
Feedback on professional skills as enculturation into communities of practice.txt,"Teamwork Encouraged team strategies that are often used in industrial and disciplinary communities of practice, such as being aware of the strengths and skills of other team members and helping each other monitor individual contributions to theteam. Sometimes focused on distribution of labor, coordination of work with other team members, conﬂict management, and within-team peer review would also be categorized as teamwork episodes. Economic impact of engineering solutionsReferenced economic implications of engineering choices, such as the cost of performing experiments using an incorrectly calculated value or the cost of slow manufacturing processes. Project management Project management consists of the planning, scheduling, execution, and moni- toring of projects (Kerzner, 2009). Primarily concerned with one of the following two aspects of project management: scheduling a meeting (e.g., scheduling a follow-up meeting to discuss a revised memorandum) and the overall project timeline and milestone expectations.16 Gilbuena, Sherrett, Gummer, Champagne, & KoretskyFor Team A, all corrective episodes were examined and grouped under unifying topics that connected multiple episodes.","Economic impact of engineering solutionsReferenced economic implications of engineering choices, such as the cost of performing experiments using an incorrectly calculated value or the cost of slow manufacturing processes",yes,yes,yes,"""Referenced economic implications of engineering choices, such as the cost of performing experiments using an incorrectly calculated value or the cost of slow manufacturing processes."""
Feedback on professional skills as enculturation into communities of practice.txt,"Some feedback, howev er, highlighted the way communication conveys a degree of participation in a community of practice; for example, some communication conveysa value of legitimacy. We observed feedback on communication to address legitimacy in twodistinct, albeit overlapping, communities, one in the semiconductor industry and the other in the discipline of chemical engineering. Table 7 Episodes Devoted to Each Professional Skill by Feedback Type Professional skillCorrective- facilitative episodesCorrective- directive episodesNeutral episodesAfﬁrmative episodes Communication 7 8 4 3 Experimental documentation 2 4 0 0 Teamwork 5 0 0 0 Economic impact 4 0 0 0 Project management 2 0 3 1 Note. The number of episodes related to professional skills in Table 6 includes four short tech- nical episodes that were nested within and dependent on the professional skill context; these episodes are not reported in Table 7.Table 6 Coaching Session Discourse that Includes Professional Skills TeamTotal episodes (n)Episodes related to professional skills (n)Episodes related to professional skills (%)Word count related to professional skills (%) A3 2 1 3 4 1 3 7 B 26 7 27 35 C3 1 1 7 5 5 2 3 D2 8 1 0 3 6 5 018 Gilbuena, Sherrett, Gummer, Champagne, & KoretskySemiconductor industry community Verbal communication episodes commonly focused on clarifying industry-speciﬁc discourse. These episodes tended to be short and nested in othermore substantive episodes.",Table 7 Episodes Devoted to Each Professional Skill by Feedback Type Professional skillCorrective- facilitative episodesCorrective- directive episodesNeutral episodesAfﬁrmative episodes Communication 7 8 4 3 Experimental documentation 2 4 0 0 Teamwork 5 0 0 0 Economic impact 4 0 0 0 Project management 2 0 3 1 Note,no,,,
Feedback on professional skills as enculturation into communities of practice.txt,"For example, the coach could integrate feed-back on skillful conﬂict management and managing team members who do not contribute pro-portionately, the two topics commonly discussed i n literature. In such cases, the coach needs to be able to identify such behaviors. Economic impact of engineering solutions Similar to teamwork, the feedback on the eco- nomic impact of engineering solutions shifts students’ participation from the student commu- nity to the disciplinary and the industrial communities of practice. The use of virtual dollars in22 Gilbuena, Sherrett, Gummer, Champagne, & Koretskythis project enculturates students into the disciplinary and industrial communities of practice and scaffolds their legitimate participation in a safe environment in which they can make mis-takes, learn, and grow from those mistakes. Three of the four teams had an episode dealing with the economic impact of engineering solutions.","Economic impact of engineering solutions Similar to teamwork, the feedback on the eco- nomic impact of engineering solutions shifts students’ participation from the student commu- nity to the disciplinary and the industrial communities of practice",no,,,
Feedback on professional skills as enculturation into communities of practice.txt,"Economic impact of engineering solutions Similar to teamwork, the feedback on the eco- nomic impact of engineering solutions shifts students’ participation from the student commu- nity to the disciplinary and the industrial communities of practice. The use of virtual dollars in22 Gilbuena, Sherrett, Gummer, Champagne, & Koretskythis project enculturates students into the disciplinary and industrial communities of practice and scaffolds their legitimate participation in a safe environment in which they can make mis-takes, learn, and grow from those mistakes. Three of the four teams had an episode dealing with the economic impact of engineering solutions. The case discussed above in the Teamwork section and a second case, not given here, are very similar. In a third case, the coach connected engineering solutions more explic- itly to the industrial community of practice.",Three of the four teams had an episode dealing with the economic impact of engineering solutions,no,,,
Feedback on professional skills as enculturation into communities of practice.txt,"We believe thatmaking explicit the types of professional skills addressed in the coaching sessions in the proj-ect can help instructors in other engineering design contexts be more aware of the types ofprofessional skills they address and be able to identify appropriate modiﬁcations in their proj-ects to integrate professional skills. The results of Research Question 1 show that professional skills were incorporated in, on average, about 40% of the total coaching session episodes. The coach gave feedback onFeedback on Professional Skills as Enculturation 27attention to communication, experimental documentation, teamwork, the economic impact of engineering solutions, and project management. In general, feedback and use of professionalskills was nested within more technical aspects of project work. We also identiﬁed and showedhow different types of feedback were used in this project: afﬁrmative feedback, neutral discus-sion, corrective-directive feedback, and corrective-facilitative feedback.","The coach gave feedback onFeedback on Professional Skills as Enculturation 27attention to communication, experimental documentation, teamwork, the economic impact of engineering solutions, and project management",no,,,
Feedback on professional skills as enculturation into communities of practice.txt,"We have intentionally chosen a situative perspective ratherthan a cognitive perspective. While we recognize value in both, we believe a focus on students’internal, mental structures causes researchers to focus more on technical skills. On the otherhand, with a shift to a situative perspective (participation in communities of practice), skills like communication, team work, and analysis of societal and economic impacts, which are integral to engineering practice, must be appropriately recognized. A third implication is the need for additional research on feedback in the context of open- ended projects. As we gain a greater understanding of what professional skills entail, we alsomust understand how to best help students become more ﬂuent with these skills.","On the otherhand, with a shift to a situative perspective (participation in communities of practice), skills like communication, team work, and analysis of societal and economic impacts, which are integral to engineering practice, must be appropriately recognized",no,,,
